Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
21 5 -5.7548094 0.0 -22.4027 9.75498 -20.4967 159.059 -1144.85 160.718 -1147.04 0.0 160.718 -1147.04 52.2105 -22.4027 -956.5143 13.0096 13.0096
21 6 -5.7548094 0.0 -22.4027 9.75498 -20.4967 159.059 -1144.85 160.718 -1147.04 0.0 160.718 -1147.04 52.2105 -22.4027 -956.5143 13.0096 13.0096
21 7 -5.7548094 0.0 -22.4027 9.75498 -20.4967 159.059 -1144.85 160.718 -1147.04 0.0 160.718 -1147.04 52.2105 -22.4027 -956.5143 13.0096 13.0096
22 0 -5.537908 0.0 -16.2446 9.73495 -19.8513 159.059 -1144.85 160.459 -1152.0 0.0 160.459 -1152.0 51.3917 -16.2446 -956.3939 18.8287 18.8287
22 1 -5.537908 0.0 -16.2446 9.73495 -19.8513 159.059 -1144.85 160.459 -1152.0 0.0 160.459 -1152.0 51.3917 -16.2446 -956.3939 18.8287 18.8287
22 2 -5.537908 0.0 -16.2446 9.73495 -19.8513 159.059 -1144.85 160.459 -1152.0 0.0 160.459 -1152.0 51.3917 -16.2446 -956.3939 18.8287 18.8287
22 3 -5.5443316 0.0 -16.3794 9.73496 -19.8529 159.059 -1144.85 160.402 -1151.81 0.0 160.402 -1151.81 51.4352 -16.3794 -956.3523 18.7595 18.7595
22 4 -5.544153 0.0 -16.4333 9.73312 -19.8419 159.059 -1144.85 160.366 -1151.66 0.0 160.366 -1151.66 51.4338 -16.4333 -956.2936 18.73 18.73
22 5 -5.544153 0.0 -16.4333 9.73312 -19.8419 159.059 -1144.85 160.366 -1151.66 0.0 160.366 -1151.66 51.4338 -16.4333 -956.2936 18.73 18.73
22 6 -5.544153 0.0 -16.4333 9.73312 -19.8419 159.059 -1144.85 160.366 -1151.66 0.0 160.366 -1151.66 51.4338 -16.4333 -956.2936 18.73 18.73
22 7 -5.544153 0.0 -16.4333 9.73312 -19.8419 159.059 -1144.85 160.366 -1151.66 0.0 160.366 -1151.66 51.4338 -16.4333 -956.2936 18.73 18.73
23 0 -5.730459 0.0 -19.6194 9.78426 -20.7499 159.059 -1144.85 159.966 -1149.99 0.0 159.966 -1149.99 53.363 -19.6194 -956.28033 15.049 15.049
